2010,Nema,,,Nema weighted,,,Mirex2010,,,Mirex2009,,,Triads,,Tetrads,,,TriadsInput,,,TetradsOnly,,,Root,,,Bass,,,ChromaPrecision,,,ChromaRecall,,,ChromaFmeasure,,,,,
NMSD2 ('11),97.60%,,NMSD2 ('11),97.36%,,KO1 ('11),81.40,,KO1 ('11),81.52,,KO1 ('11),80.69,KO1 ('11),73.88,,KO1 ('11),82.13,,KO1 ('11),52.65,,NM1 ('11),82.92,,NM1 ('11),82.42,,NM1 ('11),86.97,,NMSD3 ('11),86.30,,KO1 ('11),86.09,,,,,BUURO1 ('11)
KO1 ('11),82.85%,,NMSD3 ('11),81.97%,,NMSD3 ('11),81.40,,NM1 ('11),80.95,,NM1 ('11),79.54,NM1 ('11),68.51,,NM1 ('11),81.34,,NMSD3 ('11),46.12,,KO1 ('11),82.92,,KO1 ('11),82.06,,KO1 ('11),86.61,,KO1 ('11),86.13,,NMSD3 ('11),85.64,,,,,BUURO2 ('11)
NMSD3 ('11),82.77%,,KO1 ('11),81.63%,,NM1 ('11),80.35,,NMSD3 ('11),79.80,,NMSD3 ('11),79.01,NMSD3 ('11),68.36,,NMSD3 ('11),81.17,,KO2 ('11),9.38,,CB2 ('11),81.65,,NMSD1 ('11),81.03,,CB2 ('11),86.47,,NM1 ('11),83.48,,NM1 ('11),84.85,,,,,BUURO3 ('11)
NM1 ('11),81.99%,,NM1 ('11),81.14%,,CB2 ('11),79.29,,CB2 ('11),79.28,,CB2 ('11),78.08,CB2 ('11),67.55,,CB2 ('11),80.15,,BUURO2 ('11),1.57,,NMSD3 ('11),81.42,,NMSD3 ('11),81.01,,CB3 ('11),86.21,,CB2 ('11),82.95,,CB2 ('11),84.33,,,,,BUURO4 ('11)
CB2 ('11),81.37%,,CB2 ('11),80.00%,,CB3 ('11),78.85,,CB3 ('11),78.78,,CB3 ('11),77.65,CB3 ('11),67.05,,CB3 ('11),79.62,,BUURO3 ('11),1.36,,KO2 ('11),81.23,,KO2 ('11),80.56,,NMSD3 ('11),85.67,,KO2 ('11),82.72,,CB3 ('11),84.07,,,,,BUURO5 ('11)
CB3 ('11),80.91%,,CB3 ('11),79.57%,,KO2 ('11),77.89,,KO2 ('11),78.26,,KO2 ('11),77.10,NMSD1 ('11),66.38,,NMSD1 ('11),79.01,,BUURO1 ('11),0.00,,CB3 ('11),81.23,,CB2 ('11),79.93,,NMSD1 ('11),85.55,,CB3 ('11),82.68,,KO2 ('11),83.62,,,,,CB1 ('11)
KO2 ('11),79.77%,,NMSD1 ('11),78.29%,,NMSD1 ('11),77.74,,NMSD1 ('11),78.15,,NMSD1 ('11),76.93,KO2 ('11),66.05,,KO2 ('11),78.90,,BUURO4 ('11),0.00,,NMSD1 ('11),81.19,,CB3 ('11),79.48,,CB1 ('11),85.39,,NMSD1 ('11),82.13,,NMSD1 ('11),83.47,,,,,CB2 ('11)
CB1 ('11),79.55%,,KO2 ('11),78.22%,,CB1 ('11),77.29,,UUOS1 ('11),77.12,,UUOS1 ('11),75.99,UUOS1 ('11),65.93,,UUOS1 ('11),78.41,,BUURO5 ('11),0.00,,CB1 ('11),79.54,,CB1 ('11),79.27,,KO2 ('11),85.27,,CB1 ('11),81.92,,CB1 ('11),83.28,,,,,CB3 ('11)
NMSD1 ('11),79.38%,,CB1 ('11),77.86%,,UUOS1 ('11),77.09,,CB1 ('11),76.93,,CB1 ('11),75.77,CB1 ('11),65.83,,CB1 ('11),78.30,,CB1 ('11),0.00,,UUOS1 ('11),79.34,,UUOS1 ('11),77.88,,UUOS1 ('11),84.46,,UUOS1 ('11),81.04,,UUOS1 ('11),82.40,,,,,KO1 ('11)
UUOS1 ('11),76.89%,,UUOS1 ('11),75.64%,,PVM1 ('11),73.41,,PVM1 ('11),72.75,,PVM1 ('11),71.82,PVM1 ('11),62.49,,PVM1 ('11),73.96,,CB2 ('11),0.00,,PVM1 ('11),74.71,,RHRC1 ('11),72.19,,PVM1 ('11),82.46,,PVM1 ('11),79.03,,PVM1 ('11),80.37,,,,,KO2 ('11)
PVM1 ('11),73.96%,,PVM1 ('11),72.96%,,RHRC1 ('11),70.95,,RHRC1 ('11),70.28,,RHRC1 ('11),69.26,RHRC1 ('11),60.42,,RHRC1 ('11),71.78,,CB3 ('11),0.00,,RHRC1 ('11),73.49,,PVM1 ('11),71.52,,RHRC1 ('11),81.17,,RHRC1 ('11),77.79,,RHRC1 ('11),79.12,,,,,NM1 ('11)
RHRC1 ('11),72.89%,,RHRC1 ('11),71.51%,,UUROS1 ('11),33.56,,UUROS1 ('11),33.21,,UUROS1 ('11),32.68,UUROS1 ('11),28.82,,UUROS1 ('11),34.30,,NM1 ('11),0.00,,UUROS1 ('11),42.67,,UUROS1 ('11),43.91,,BUURO3 ('11),51.25,,UUROS1 ('11),49.18,,BUURO3 ('11),50.00,,,,,NMSD1 ('11)
UUROS1 ('11),34.29%,,UUROS1 ('11),33.86%,,BUURO3 ('11),33.55,,BUURO3 ('11),33.20,,BUURO3 ('11),32.66,BUURO3 ('11),28.81,,BUURO3 ('11),34.28,,NMSD1 ('11),0.00,,BUURO3 ('11),42.66,,BUURO3 ('11),43.90,,UUROS1 ('11),51.25,,BUURO3 ('11),49.18,,UUROS1 ('11),50.00,,,,,NMSD2 ('11)
BUURO3 ('11),34.27%,,BUURO3 ('11),33.85%,,BUURO1 ('11),22.67,,BUURO1 ('11),30.10,,BUURO1 ('11),21.99,BUURO1 ('11),16.56,,BUURO1 ('11),23.27,,PVM1 ('11),0.00,,BUURO1 ('11),36.19,,BUURO1 ('11),37.59,,BUURO1 ('11),46.48,,BUURO1 ('11),44.56,,BUURO1 ('11),45.32,,,,,NMSD3 ('11)
BUURO1 ('11),23.61%,,BUURO1 ('11),23.13%,,BUURO4 ('11),17.84,,BUURO4 ('11),30.03,,BUURO4 ('11),16.99,BUURO4 ('11),15.13,,BUURO4 ('11),18.01,,RHRC1 ('11),0.00,,BUURO4 ('11),35.50,,BUURO4 ('11),36.79,,BUURO4 ('11),45.67,,BUURO4 ('11),43.78,,BUURO4 ('11),44.53,,,,,PVM1 ('11)
BUURO4 ('11),18.98%,,BUURO4 ('11),18.53%,,BUURO2 ('11),15.71,,BUURO5 ('11),22.93,,BUURO2 ('11),14.20,BUURO2 ('11),10.03,,BUURO2 ('11),14.70,,UUOS1 ('11),0.00,,BUURO2 ('11),32.81,,BUURO2 ('11),33.92,,BUURO2 ('11),37.03,,BUURO2 ('11),39.72,,BUURO2 ('11),37.99,,,,,RHRC1 ('11)
BUURO2 ('11),16.75%,,BUURO2 ('11),16.16%,,BUURO5 ('11),11.63,,BUURO2 ('11),21.50,,BUURO5 ('11),10.17,BUURO5 ('11),6.86,,BUURO5 ('11),10.32,,UUROS1 ('11),0.00,,BUURO5 ('11),32.03,,BUURO5 ('11),33.08,,BUURO5 ('11),35.56,,BUURO5 ('11),38.33,,BUURO5 ('11),36.56,,,,,UUOS1 ('11)
BUURO5 ('11),12.64%,,BUURO5 ('11),12.15%,,NMSD2 ('11),97.13,,NMSD2 ('11),fake,,NMSD2 ('11),fake,NMSD2 ('11),fake,,NMSD2 ('11),,,NMSD2 ('11),fake,,NMSD2 ('11),98.14,,NMSD2 ('11),98.12,,NMSD2 ('11),98.46,,NMSD2 ('11),98.52,,NMSD2 ('11),98.47,,,,,UUROS1 ('11)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Nema,,,Nema weighted,,,Mirex2010,,,Mirex2009,,,Triads,,Tetrads,,,TriadsInput,,,TetradsOnly,,,Root,,,Bass,,,ChromaPrecision,,,ChromaRecall,,,ChromaFmeasure,,,,,
NMSD1 ('12),83.51%,,NMSD1 ('12),82.73%,,NMSD1 ('12),82.15,,KO1 ('12),81.52,,KO1 ('12),80.69,KO1 ('12),73.88,,KO1 ('12),82.13,,KO1 ('12),52.65,,KO1 ('12),82.92,,KO1 ('12),82.06,,KO1 ('12),86.61,,NMSD1 ('12),87.09,,NMSD1 ('12),86.20,,,,,CCSS1 ('12)
KO1 ('12),82.85%,,NMSD4 ('12),81.98%,,NMSD4 ('12),81.55,,CCSS1 ('12),77.44,,CCSS1 ('12),76.18,CCSS1 ('12),65.23,,CCSS1 ('12),77.35,,NMSD1 ('12),19.24,,CCSS1 ('12),80.08,,NMSD1 ('12),81.93,,NMSD1 ('12),86.04,,NMSD4 ('12),86.45,,KO1 ('12),86.09,,,,,DMW1 ('12)
NMSD4 ('12),82.72%,,KO1 ('12),81.63%,,KO1 ('12),81.40,,PMP1 ('12),74.63,,PMP1 ('12),73.68,PMP1 ('12),64.00,,PMP1 ('12),76.19,,NMSD4 ('12),16.58,,DMW1 ('12),76.99,,NMSD3 ('12),81.38,,NMSD4 ('12),85.20,,KO1 ('12),86.13,,NMSD4 ('12),85.42,,,,,KO1 ('12)
NMSD3 ('12),82.10%,,NMSD3 ('12),81.21%,,NMSD3 ('12),80.18,,PMP2 ('12),73.54,,PMP2 ('12),72.48,NMSD1 ('12),63.88,,NMSD1 ('12),76.00,,NMSD3 ('12),14.46,,PMP1 ('12),76.80,,NMSD4 ('12),81.36,,NMSD3 ('12),84.47,,NMSD3 ('12),86.05,,NMSD3 ('12),84.82,,,,,NG1 ('12)
NMSD2 ('12),81.04%,,NMSD2 ('12),80.07%,,NMSD2 ('12),79.72,,NG1 ('12),73.18,,NG1 ('12),72.13,PMP2 ('12),63.15,,PMP2 ('12),75.18,,NMSD2 ('12),11.80,,PMP2 ('12),75.96,,NMSD2 ('12),80.76,,CCSS1 ('12),84.37,,NMSD2 ('12),85.19,,NMSD2 ('12),83.62,,,,,NMSD1 ('12)
CCSS1 ('12),79.40%,,CCSS1 ('12),77.91%,,CCSS1 ('12),77.14,,PMP3 ('12),72.12,,PMP3 ('12),71.04,NG1 ('12),62.61,,NMSD4 ('12),74.83,,CCSS1 ('12),0.00,,NG1 ('12),75.78,,CCSS1 ('12),78.47,,PMP1 ('12),83.43,,CCSS1 ('12),80.83,,CCSS1 ('12),82.22,,,,,NMSD2 ('12)
