2010,Nema,,,Nema weighted,,,Mirex2010,,,Mirex2009,,,Triads,,Tetrads,,,TriadsInput,,,TetradsOnly,,,Root,,,Bass,,,ChromaPrecision,,,ChromaRecall,,,ChromaFmeasure,,,,,
EW1 ('10),74.76%,,PMP1 ('12),73.42%,,PVM1 ('11),73.41,,PVM1 ('10),72.38,,PVM1 ('10),71.51,PMP3 ('12),62.05,,PVM1 ('11),73.96,,CB3 ('11),0.00,,EW2 ('10),75.76,,PMP1 ('12),75.57,,OFG1 ('10),82.69,,PMP3 ('12),79.38,,PMP3 ('12),80.70,,,,,
PMP1 ('12),74.70%,,EW1 ('10),73.37%,,NG1 ('12),73.32,,EW2 ('10),72.28,,EW2 ('10),71.23,EW2 ('10),62.04,,PMP3 ('12),73.87,,NM1 ('11),0.00,,PMP3 ('12),75.25,,NG1 ('12),75.50,,NG1 ('12),82.49,,OFG1 ('10),79.34,,OFG1 ('10),80.65,,,,,
PVM1 ('11),73.96%,,PVM1 ('11),72.96%,,PVM1 ('10),73.11,,PMP3 ('12),72.12,,PMP3 ('12),71.04,MK1 ('10),61.97,,MK1 ('10),73.66,,NMSD1 ('11),0.00,,PVM1 ('11),74.71,,OFG1 ('10),75.21,,PVM1 ('11),82.46,,NG1 ('12),79.11,,NG1 ('12),80.44,,,,,
DMW1 ('12),73.68%,,PVM1 ('10),72.70%,,OFG1 ('10),73.07,,DMW1 ('12),71.58,,NMSD1 ('12),70.50,NMSD4 ('12),61.84,,PVM1 ('10),73.63,,PVM1 ('11),0.00,,PVM1 ('10),74.39,,PMP3 ('12),74.93,,PVM1 ('10),82.18,,PVM1 ('11),79.03,,PVM1 ('11),80.37,,,,,
PMP2 ('12),73.67%,,PMP2 ('12),72.41%,,MK1 ('10),72.88,,NMSD1 ('12),71.12,,DMW1 ('12),70.42,DMW1 ('12),60.67,,EW2 ('10),73.61,,RHRC1 ('11),0.00,,RHRC1 ('11),73.49,,PMP2 ('12),74.79,,MK1 ('10),82.06,,EW2 ('10),78.78,,PVM1 ('10),80.08,,,,,
PVM1 ('10),73.66%,,DMW1 ('12),71.99%,,PMP3 ('12),72.77,,RHRC1 ('11),70.28,,NMSD4 ('12),69.60,RHRC1 ('11),60.42,,NMSD3 ('12),72.59,,UUOS1 ('10/'11),0.00,,RRHS1 ('10),73.15,,EW2 ('10),74.41,,EW2 ('10),82.05,,PVM1 ('10),78.73,,EW2 ('10),80.06,,,,,
EW2 ('10),72.96%,,PMP3 ('12),71.59%,,EW2 ('10),72.53,,NMSD4 ('12),70.23,,RHRC1 ('11),69.26,RRHS1 ('10),60.06,,DMW1 ('12),72.12,,UUROS1 ('11),0.00,,NMSD1 ('12),72.80,,RHRC1 ('11),72.19,,DMW1 ('12),81.96,,MK1 ('10),78.67,,MK1 ('10),80.00,,,,,
PMP3 ('12),72.90%,,EW2 ('10),71.58%,,DMW1 ('12),71.51,,RRHS1 ('10),69.87,,RRHS1 ('10),68.88,NMSD3 ('12),59.54,,RHRC1 ('11),71.78,,CWB1 ('10),0.00,,RRHS2 ('10),72.42,,RRHS1 ('10),71.95,,RHRC1 ('11),81.17,,DMW1 ('12),78.60,,DMW1 ('12),79.91,,,,,
RHRC1 ('11),72.89%,,RHRC1 ('11),71.51%,,RHRC1 ('11),70.95,,NMSD3 ('12),68.29,,NMSD3 ('12),67.63,PP1 ('10),58.38,,RRHS1 ('10),71.37,,EW1 ('10),0.00,,NMSD4 ('12),71.81,,RRHS2 ('10),71.87,,RRHS1 ('10),81.08,,RHRC1 ('11),77.79,,RHRC1 ('11),79.12,,,,,
RRHS1 ('10),72.63%,,RRHS1 ('10),71.28%,,RRHS1 ('10),70.57,,PP1 ('10),67.29,,PP1 ('10),66.56,NMSD2 ('12),55.91,,NMSD2 ('12),69.45,,EW2 ('10),0.00,,PP1 ('10),71.18,,PVM1 ('11),71.52,,MM1 ('10),80.47,,RRHS1 ('10),77.70,,RRHS1 ('10),79.03,,,,,
PP1 ('10),70.23%,,PP1 ('10),68.34%,,PP1 ('10),68.15,,RRHS2 ('10),66.09,,NMSD2 ('12),64.83,MM1 ('10),53.39,,PP1 ('10),69.41,,EW3 ('10),0.00,,NMSD3 ('12),70.12,,PVM1 ('10),71.36,,PP1 ('10),79.90,,PP1 ('10),76.66,,PP1 ('10),77.93,,,,,
RRHS2 ('10),58.63%,,RRHS2 ('10),57.29%,,RRHS2 ('10),55.64,,NMSD2 ('12),65.64,,RRHS2 ('10),53.46,RRHS2 ('10),46.29,,RRHS2 ('10),55.46,,EW4 ('10),0.00,,NMSD2 ('12),67.79,,PP1 ('10),68.56,,RRHS2 ('10),75.97,,RRHS2 ('10),73.20,,RRHS2 ('10),74.23,,,,,
UUROS1 ('11),34.29%,,UUROS1 ('11),33.86%,,UUROS1 ('11),33.56,,UUROS1 ('11),33.21,,UUROS1 ('11),32.68,UUROS1 ('11),28.82,,UUROS1 ('11),34.30,,KO1 ('10),0.00,,UUROS1 ('11),42.67,,UUROS1 ('11),43.91,,BUURO3 ('11),51.25,,UUROS1 ('11),49.18,,BUURO3 ('11),50.00,,,,,
BUURO3 ('11),34.27%,,BUURO3 ('11),33.85%,,BUURO3 ('11),33.55,,BUURO3 ('11),33.20,,BUURO3 ('11),32.66,BUURO3 ('11),28.81,,BUURO3 ('11),34.28,,MK1 ('10),0.00,,BUURO3 ('11),42.66,,BUURO3 ('11),43.90,,UUROS1 ('11),51.25,,BUURO3 ('11),49.18,,UUROS1 ('11),50.00,,,,,
BUURO1 ('11),23.61%,,BUURO1 ('11),23.13%,,BUURO1 ('11),22.67,,BUURO1 ('11),30.10,,BUURO1 ('11),21.99,BUURO1 ('11),16.56,,BUURO1 ('11),23.27,,OFG1 ('10),0.00,,BUURO1 ('11),36.19,,BUURO1 ('11),37.59,,BUURO1 ('11),46.48,,BUURO1 ('11),44.56,,BUURO1 ('11),45.32,,,,,
BUURO4 ('11),18.98%,,BUURO4 ('11),18.53%,,BUURO4 ('11),17.84,,BUURO4 ('11),30.03,,BUURO4 ('11),16.99,BUURO4 ('11),15.13,,BUURO4 ('11),18.01,,PP1 ('10),0.00,,BUURO4 ('11),35.50,,BUURO4 ('11),36.79,,BUURO4 ('11),45.67,,BUURO4 ('11),43.78,,BUURO4 ('11),44.53,,,,,
BUURO2 ('11),16.75%,,BUURO2 ('11),16.16%,,BUURO2 ('11),15.71,,BUURO5 ('11),22.93,,BUURO2 ('11),14.20,BUURO2 ('11),10.03,,BUURO2 ('11),14.70,,PVM1 ('10),0.00,,BUURO2 ('11),32.81,,BUURO2 ('11),33.92,,BUURO2 ('11),37.03,,BUURO2 ('11),39.72,,BUURO2 ('11),37.99,,,,,
BUURO5 ('11),12.64%,,BUURO5 ('11),12.15%,,BUURO5 ('11),11.63,,BUURO2 ('11),21.50,,BUURO5 ('11),10.17,BUURO5 ('11),6.86,,BUURO5 ('11),10.32,,RRHS1 ('10),0.00,,BUURO5 ('11),32.03,,BUURO5 ('11),33.08,,BUURO5 ('11),35.56,,BUURO5 ('11),38.33,,BUURO5 ('11),36.56,,,,,
NMSD2 ('11),97.60%,,NMSD2 ('11),97.36%,,NMSD2 ('11),97.13,,NMSD2 ('11),fake,,NMSD2 ('11),fake,NMSD2 ('11),fake,,NMSD2 ('11),fake,,NMSD2 ('11),fake,,NMSD2 ('11),98.14,,NMSD2 ('11),98.12,,NMSD2 ('11),98.46,,NMSD2 ('11),98.52,,NMSD2 ('11),98.47,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set duration,36907.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nema,,,Nema weighted,,,Mirex2010,,,MajMin,,,6TriadsOutput,,Tetrads,,,TriadsInput,,,TetradsOnly,,,,,,Bass,,,,,,,,,,,,,,
Eval. duration,,,,,,,36907.6,,,36488.7,,,36488.7,,36488.7,,,30346.1,,,5493.5,,,,,,36907.6,,,,,,,,,,,,,,
Eval. Ratio,,,,,,,100.00%,,,98.87%,,,98.87%,,98.87%,,,82.22%,,,14.88%,,,,,,100.00%,,,,,,,,,,,,,,
