*Algorithm,Chord Overlap ratio,Chord weighted average overlap ratio
PMP3,0.6532,0.6423
NMSD3,0.7329,0.7233
CCSS1,0.6736,0.6619
NMSD2,0.7302,0.7206
NG1,0.6418,0.6248
NMSD1,0.7239,0.7140
PMP2,0.6609,0.6478
KO1,0.7128,0.6980
PMP1,0.6695,0.6556
DMW1,0.6433,0.6249
NMSD4,0.7347,0.7249
